ID,Record type,Data owner,Latitude,Longitude,Common name,Scientific name,Total individuals,Year observed
176,Sighting,DPIPWE,-40.44,144.58,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
177,Sighting,DPIPWE,-40.6,144.94,Bottlenose dolphin - Common,Tursiops truncatus,1,1998
178,Sighting,DPIPWE,-40.6,144.94,Bottlenose dolphin - Common,Tursiops truncatus,1,1998
179,Sighting,DPIPWE,-40.66,145.06,Bottlenose dolphin - Common,Tursiops truncatus,1,1998
180,Sighting,DPIPWE,-41.4,144.72,Bottlenose dolphin - Common,Tursiops truncatus,1,1998
181,Sighting,DPIPWE,-40.55,148.2,Bottlenose dolphin - Common,Tursiops truncatus,1,1998
182,Sighting,DPIPWE,-40.99,148.35,Bottlenose dolphin - Common,Tursiops truncatus,1,1998
183,Sighting,DPIPWE,-41.42,148.35,Bottlenose dolphin - Common,Tursiops truncatus,1,1998
184,Sighting,DPIPWE,-42.95,147.64,Bottlenose dolphin - Common,Tursiops truncatus,1,1998
185,Sighting,DPIPWE,-40.3906,144.6597,Bottlenose dolphin - Common,Tursiops truncatus,1,1997
186,Sighting,DPIPWE,-43.51,145.96,Bottlenose dolphin - Common,Tursiops truncatus,1,1997
187,Sighting,DPIPWE,-43.34,147.05,Bottlenose dolphin - Common,Tursiops truncatus,1,1997
188,Sighting,DPIPWE,-40.99,148.35,Bottlenose dolphin - Common,Tursiops truncatus,1,1997
189,Sighting,DPIPWE,-40.44,148.06,Bottlenose dolphin - Common,Tursiops truncatus,1,1997
190,Sighting,DPIPWE,-40.6,144.94,Bottlenose dolphin - Common,Tursiops truncatus,1,1997
191,Sighting,DPIPWE,-40.45,144.82,Bottlenose dolphin - Common,Tursiops truncatus,1,1997
192,Sighting,DPIPWE,-40.34,144.41,Bottlenose dolphin - Common,Tursiops truncatus,1,1997
193,Sighting,DPIPWE,-42.32,148.32,Dusky dolphin,Lagenorhynchus obscurus,3,1994
194,Sighting,DPIPWE,-43.06,147.8,Unidentified dolphin,Unidentified dolphin,1,2003
195,Sighting,DPIPWE,-42.78,147.13,Unidentified dolphin,Unidentified dolphin,1,2000
196,Sighting,DPIPWE,-41.83,148.83,Unidentified dolphin,Unidentified dolphin,1,1998
